x_interface,D_med,D_lo,D_hi
5.000000000000000000e-01,4.999904819648712251e-02,3.999923855718970356e-02,5.999885783578454146e-02
7.195121951219511924e-01,4.999559898696195187e-02,3.999647918956956288e-02,5.999471878435434086e-02
9.390243902439023849e-01,4.998195980812437239e-02,3.998556784649950208e-02,5.997835176974924271e-02
1.158536585365853799e+00,4.993444394740229053e-02,3.994755515792183798e-02,5.992133273688274309e-02
1.378048780487804770e+00,4.978881280445414392e-02,3.983105024356331514e-02,5.974657536534497271e-02
1.597560975609756184e+00,4.939687751953295014e-02,3.951750201562636428e-02,5.927625302343953601e-02
1.817073170731707377e+00,4.847304374545072930e-02,3.877843499636058483e-02,5.816765249454087378e-02
2.036585365853658569e+00,4.657286810063997196e-02,3.725829448051198173e-02,5.588744172076796218e-02
2.256097560975609539e+00,4.318103927991015500e-02,3.454483142392812678e-02,5.181724713589218323e-02
2.475609756097560954e+00,3.797213062143926093e-02,3.037770449715140875e-02,4.556655674572711312e-02
2.695121951219512368e+00,3.119201103802292721e-02,2.495360883041834385e-02,3.743041324562751404e-02
2.914634146341463339e+00,2.392771111760055858e-02,1.914216889408044964e-02,2.871325334112066752e-02
3.134146341463414753e+00,1.795951483249916270e-02,1.436761186599933016e-02,2.155141779899899523e-02
3.353658536585365724e+00,1.509383973144601439e-02,1.207507178515681255e-02,1.811260767773521796e-02
3.573170731707317138e+00,1.628773639162101397e-02,1.303018911329681222e-02,1.954528366994521746e-02
3.792682926829268109e+00,2.113606143275683150e-02,1.690884914620546450e-02,2.536327371930819849e-02
4.012195121951219079e+00,2.809211164939002386e-02,2.247368931951201909e-02,3.371053397926802864e-02
4.231707317073171382e+00,3.525989901439165880e-02,2.820791921151332912e-02,4.231187881726999195e-02
4.451219512195121908e+00,4.121095278828262876e-02,3.296876223062610717e-02,4.945314334593915034e-02
4.670731707317073322e+00,4.536220711706728109e-02,3.628976569365382349e-02,5.443464854048073870e-02
4.890243902439024737e+00,4.785172639218826518e-02,3.828138111375061631e-02,5.742207167062591405e-02
5.109756097560975263e+00,4.917030198848001965e-02,3.933624159078401988e-02,5.900436238617601942e-02
5.329268292682926678e+00,4.983834686167320366e-02,3.987067748933856293e-02,5.980601623400784439e-02
5.548780487804878092e+00,5.025522843632451719e-02,4.020418274905961792e-02,6.030627412358941647e-02
5.768292682926829507e+00,5.069124088556731245e-02,4.055299270845385412e-02,6.082948906268077077e-02
5.987804878048780921e+00,5.133696749902394441e-02,4.106957399921915691e-02,6.160436099882873190e-02
6.207317073170731447e+00,5.234543703180388752e-02,4.187634962544311418e-02,6.281452443816466780e-02
6.426829268292682862e+00,5.384096898743251369e-02,4.307277518994601095e-02,6.460916278491901643e-02
6.646341463414634276e+00,5.589513067770841143e-02,4.471610454216673469e-02,6.707415681325008816e-02
6.865853658536585691e+00,5.848420116945262509e-02,4.678736093556210007e-02,7.018104140334315011e-02
7.085365853658536217e+00,6.145044273825484710e-02,4.916035419060388323e-02,7.374053128590581097e-02
7.304878048780487632e+00,6.449208409829768063e-02,5.159366727863815005e-02,7.739050091795721120e-02
7.524390243902439046e+00,6.720034047998377225e-02,5.376027238398702057e-02,8.064040857598052392e-02
7.743902439024390461e+00,6.914436276344698706e-02,5.531549021075759381e-02,8.297323531613638725e-02
7.963414634146341875e+00,6.998216143998702010e-02,5.598572915198962024e-02,8.397859372798442690e-02
8.182926829268293289e+00,6.955877673699403796e-02,5.564702138959523592e-02,8.347053208439284000e-02
8.402439024390243816e+00,6.795306456084794500e-02,5.436245164867836016e-02,8.154367747301753677e-02
8.621951219512194342e+00,6.545372478331018540e-02,5.236297982664814971e-02,7.854446973997221415e-02
8.841463414634146645e+00,6.247456562562456184e-02,4.997965250049965502e-02,7.496947875074946865e-02
9.060975609756097171e+00,5.944311694543149421e-02,4.755449355634519537e-02,7.133174033451779306e-02
9.280487804878049474e+00,5.670352111516607785e-02,4.536281689213286783e-02,6.804422533819928787e-02
9.500000000000000000e+00,5.446260320296859858e-02,4.357008256237487887e-02,6.535512384356231830e-02
